"bp","jeita_cave","z_score_jeita_cave","jerusalem_west_cave","z_score_jerusalem_west_cave","lake_hula","z_score_lake_hula","soreq_cave","z_score_soreq_cave"
4410,NA,NA,NA,NA,NA,NA,-5.79,-1.45449233763812
4413,-5.12,0.695821016091051,NA,NA,NA,NA,NA,NA
4428,-5.25,0.437525420019203,NA,NA,NA,NA,NA,NA
4440,NA,NA,NA,NA,NA,NA,-5.6,-1.27017796537839
4444,-5.29,0.358049851997096,NA,NA,NA,NA,NA,NA
4459,-5.17,0.596476556063418,NA,NA,NA,NA,NA,NA
4465,NA,NA,NA,NA,-7.92,0.779894027519477,NA,NA
4470,NA,NA,NA,NA,NA,NA,-5.63,-1.29928023468256
4475,-5.36,0.218967607958407,NA,NA,NA,NA,NA,NA
4490,-5.41,0.119623147930774,NA,NA,NA,NA,NA,NA
4500,NA,NA,NA,NA,NA,NA,-5.5,-1.17317040103116
4506,-5.23,0.477263204030256,NA,NA,NA,NA,NA,NA
4521,-5.32,0.298443175980515,NA,NA,NA,NA,NA,NA
4530,NA,NA,NA,NA,NA,NA,-5.58,-1.25077645250894
4536,-5.27,0.39778763600815,NA,NA,NA,NA,NA,NA
4552,-5.27,0.39778763600815,NA,NA,NA,NA,NA,NA
4560,NA,NA,NA,NA,NA,NA,-5.78,-1.4447915812034
4567,-5.25,0.437525420019203,NA,NA,NA,NA,NA,NA
4583,-5.31,0.318312067986043,NA,NA,NA,NA,NA,NA
4590,NA,NA,NA,NA,NA,NA,-5.84,-1.50299611981173
4598,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
4614,-5.35,0.238836499963935,NA,NA,NA,NA,NA,NA
4620,NA,NA,NA,NA,NA,NA,-5.98,-1.63880670989785
4629,-5.25,0.437525420019203,NA,NA,NA,NA,NA,NA
4644,-5.23,0.477263204030256,NA,NA,NA,NA,NA,NA
4650,NA,NA,NA,NA,NA,NA,-6.12,-1.77461729998397
4685,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
4700,NA,NA,NA,NA,NA,NA,-6,-1.6582082227673
4704,NA,NA,NA,NA,-7.77,1.03727924367668,NA,NA
4720,NA,NA,-5.75,-0.367180671926983,NA,NA,NA,NA
4726,-5.23,0.477263204030256,NA,NA,NA,NA,NA,NA
4740,NA,NA,NA,NA,NA,NA,-6.04,-1.69701124850619
4754,NA,NA,NA,NA,-7.96,0.711257969877556,NA,NA
4766,-5.22,0.497132096035784,NA,NA,NA,NA,NA,NA
4775,NA,NA,NA,NA,NA,NA,-6.02,-1.67760973563674
4800,NA,NA,NA,NA,NA,NA,-5.81,-1.47389385050757
4807,-5.21,0.51700098804131,NA,NA,NA,NA,NA,NA
4810,NA,NA,NA,NA,NA,NA,-5.8,-1.46419309407284
4811,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
4815,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
4820,-5.12,0.695821016091051,NA,NA,NA,NA,NA,NA
4824,-5.23,0.477263204030256,NA,NA,NA,NA,NA,NA
4828,-5.22,0.497132096035784,NA,NA,NA,NA,NA,NA
4830,NA,NA,NA,NA,NA,NA,-5.88,-1.54179914555062
4832,-5.19,0.556738772052363,NA,NA,NA,NA,NA,NA
4837,-5.11,0.715689908096578,NA,NA,NA,NA,NA,NA
4840,NA,NA,NA,NA,NA,NA,-5.74,-1.40598855546451
4841,-5.23,0.477263204030256,NA,NA,NA,NA,NA,NA
4845,-5.08,0.775296584113159,NA,NA,NA,NA,NA,NA
4849,-5.36,0.218967607958407,NA,NA,NA,NA,NA,NA
