bp,d18o
7433,-5.95
7438,-5.87
7442,-5.98
7447,-5.99
7452,-6.09
7456,-6.06
7461,-6.06
7465,-5.96
7470,-6.03
7474,-6.07
7479,-6.12
7484,-5.76
7488,-5.84
7493,-5.78
7497,-5.85
7502,-5.74
7506,-5.96
7511,-5.92
7516,-6.01
7525,-5.69
7534,-5.79
7544,-5.97
7553,-6.04
7562,-5.76
7572,-5.74
7581,-5.73
7590,-5.77
7600,-5.68
7609,-5.6
7619,-6
7628,-6.01
7637,-6.04
7647,-6.21
7656,-6.18
7665,-6.32
7675,-6.06
7684,-6.2
7693,-5.95
7703,-6.2
7712,-5.97
7722,-6.21
7731,-5.81
7734,-6.02
7737,-5.88
7741,-5.88
7744,-6.02
7747,-6.09
7750,-5.99
7753,-6.03
7757,-6.18
7760,-6.2
7763,-6
7766,-5.96
7770,-6.1
7773,-5.89
7776,-6
7779,-6.1
7782,-6.16
7786,-5.99
7789,-6.1
7792,-5.97
7795,-6.04
7799,-6.08
7802,-6.13
7805,-5.93
7808,-5.92
7811,-5.79
7815,-5.84
7818,-5.91
7821,-5.98
7824,-5.91
7828,-5.91
7831,-5.95
7834,-6.13
7837,-6.15
7846,-6.04
7855,-6.26
7863,-6.07
7872,-6.11
7881,-6.06
7890,-6.31
7898,-6.29
7907,-6.43
7916,-6.31
7924,-6.41
7933,-6.4
7942,-6.28
7951,-6.19
7959,-6.35
7968,-6.3
7977,-6.29
7986,-6.33
7994,-6.56
8003,-6.33
8012,-6.44
8020,-6.38
8029,-6.36
8038,-6.31
8047,-6.32
8055,-6.02
8064,-6.2
8071,-6.03
8078,-6
8085,-6.07
8092,-6.02
8099,-5.91
8106,-6.05
8113,-5.98
8120,-5.99
8127,-5.93
8134,-6.12
8141,-5.89
8148,-6.01
8155,-5.77
8162,-5.97
8169,-5.99
8176,-6.03
8183,-6.11
8190,-6.01
8196,-5.94
8202,-6.03
8208,-6.02
8214,-6.15
8220,-5.93
8226,-6
8232,-5.99
8238,-6.11
8244,-6.13
8250,-6.12
8256,-6.11
8262,-6.11
8269,-5.96
8275,-6.04
8281,-6.14
8287,-6.23
8293,-6.22
8299,-6.3
8305,-6.2
8311,-6.25
8317,-6.15
8323,-6.23
8329,-6.13
8335,-6.28
8341,-6.28
8347,-6.27
8355,-6.33
8362,-6.19
8370,-6.06
8377,-6.06
8385,-6.16
8393,-6.14
8400,-6.24
8408,-6.03
8415,-6.15
8423,-6.16
8430,-6
8438,-6.36
8445,-6.28
8453,-6.18
8460,-6.14
8468,-6.05
8475,-6.04
8480,-6.19
8484,-6.3
8488,-6.31
8493,-6.29
8497,-6.4
8501,-6.4
8505,-6.44
8510,-6.27
8514,-6.37
8518,-6.37
8522,-6.26
8527,-6.36
8531,-6.48
8535,-6.41
8539,-6.43
8544,-6.55
8548,-6.53
8552,-6.47
8557,-6.56
8561,-6.48
8565,-6.54
8569,-6.57
8574,-6.82
8578,-6.97
8582,-6.83
8586,-6.78
8591,-6.72
8595,-6.76
8599,-6.86
8603,-6.58
8608,-6.53
8612,-6.48
8616,-6.61
8621,-6.43
8625,-6.24
8629,-6.33
8633,-6.26
8638,-6.4
8642,-6.29
8646,-6.32
8650,-6.07
8655,-6.31
8659,-5.95
8663,-6.31
8667,-6.11
8672,-6.38
8676,-6.29
8680,-6.32
8684,-6.32
8689,-6.46
8693,-6.53
8697,-6.57
8706,-6.49
8714,-6.5
8723,-6.32
8731,-6.43
8740,-6.39
8748,-6.4
8757,-6.33
8765,-6.47
8774,-6.4
8782,-6.36
8791,-6.37
8799,-6.38
8808,-6.35
8816,-6.47
8825,-6.35
8833,-6.4
8842,-6.25
8851,-6.27
8859,-6.22
8868,-6.26
8876,-6.12
8885,-5.93
8893,-5.95
8902,-6.1
8910,-6.14
8919,-6.23
8927,-6.13
8936,-6.18
8944,-6.13
8953,-6.05
8961,-6.01
8970,-5.83
8978,-6.01
8987,-5.9
8995,-6.08
9004,-5.82
9012,-6.06
9021,-6.25
9029,-6.17
9038,-5.95
9046,-6.02
9055,-6.1
9063,-6.19
9072,-6.3
9080,-6.22
9089,-6.21
9097,-6.23
9106,-6.22
9114,-6.22
9123,-6.28
9131,-6.34
9140,-6.49
9149,-6.36
9157,-6.35
9166,-6.08
9174,-6.15
9183,-6.07
9191,-6.26
9200,-6.14
9208,-6.23
9217,-6.31
9225,-6.12
9234,-6.07
9242,-6.11
9251,-6.14
9259,-5.99
9268,-6.1
9280,-6.23
9291,-6.22
9303,-6
9315,-6.21
9327,-6.17
9339,-6.23
9350,-6.22
9362,-6
9374,-5.43
9386,-5.54
9398,-5.69
9409,-6.18
9421,-6.08
9433,-6.1
9445,-6.14
9457,-6
9469,-6.09
9480,-6.07
9492,-5.95
9504,-6.03
9516,-6.2
9528,-6.22
9539,-6.29
9551,-6.2
9563,-6.21
9575,-6.18
9587,-6.18
9598,-6.05
9610,-5.91
9622,-6.12
9634,-6.08
9646,-5.95
9658,-6.09
9669,-5.89
9678,-5.8
9687,-6.03
9695,-6.11
9704,-5.96
9713,-5.97
9722,-5.94
9730,-6.09
9739,-5.86
9748,-5.98
9756,-5.9
9765,-5.93
9774,-5.89
9783,-5.88
9791,-6.03
9800,-5.98
9809,-5.93
9817,-6
9826,-6.05
9835,-5.85
9844,-6.14
9852,-6.01
9861,-6
9870,-6.02
9873,-5.95
9876,-5.98
9879,-6.07
9882,-6.09
9885,-5.91
9888,-6.1
9891,-6.04
9894,-6.18
9897,-6.11
9900,-6.12
9903,-5.63
9906,-5.91
9909,-5.75
9912,-6
9915,-5.78
9919,-5.87
9922,-5.86
9925,-5.89
9928,-5.85
9931,-5.97
9934,-5.81
9937,-5.82
9946,-5.71
9955,-5.65
9965,-5.17
9974,-5.26
9983,-5.74
9993,-5.44
10002,-5.49
10011,-5.38
10020,-5.67
10030,-5.82
10039,-5.84
10048,-5.8
10058,-5.83
10067,-6
10076,-6.11
10085,-6.08
10095,-6.07
10104,-6.06
10113,-5.81
10122,-6.01
10132,-6.03
10141,-6.01
10150,-6.15
10160,-6
10169,-5.88
10178,-5.88
10187,-5.82
10197,-5.88
10206,-5.93
10215,-5.95
10225,-5.87
10234,-5.69
10243,-5.89
10252,-5.59
10262,-5.47
10271,-5.26
10280,-5.28
10290,-5.4
10299,-5.53
10308,-5.87
10317,-5.57
10322,-6
10327,-5.66
10332,-6
10336,-5.89
10341,-5.8
10350,-5.68
10359,-5.78
10368,-5.13
